objectid,objectid_1,loc_time,loc_year,loc_qtr,loc_no,loc_nm,sample_day,temp,ph,do_,salinity,cod,coliform_cnt,t_n,t_p,cn,cu,pb,cd,zn,cr,as_,ni,hg,phenol,no3_n,no2_n,nh3_n,din,dip,chl_a,low_do,transparency,toc,din_wqi,dip_wqi,chl_a_wqi,low_do_wqi,transparency_wqi,wqi_score,wqi_grade,gubun,timeseries,x,y
46,46,2018년 4분기,2018,4,8,큰가리섬 서북방향,2018-11-01,14,8.14,8.75,30.54,2.2,150,0.63,0.052,0,0,0,0,0,,0,0.001,0,0.0002,0.293,0.056,0.0881,0.4371,0.045,2.47,100.7,2,2.28,2,5,3,1,1,36,Ⅲ,인천해역,201812,164303.7937,525774.3435
47,47,2018년 4분기,2018,4,9,대부도 북단,2018-11-01,14.3,8.07,8.75,30.9,2.2,120,0.561,0.045,0,0,0,0,0,,0,0.001,0,0,0.26,0.05,0.0502,0.3602,0.04,0,100.7,2,2.19,1,4,1,1,1,26,Ⅱ,인천해역,201812,159865.1313,524252.9533
48,48,2018년 4분기,2018,4,10,영흥도 북단,2018-11-01,14.5,8.09,8.7,30.86,0.8,110,0.565,0.042,0,0,0,0,0,,0,0.001,0,0,0.269,0.047,0.0466,0.3626,0.039,0.15,101.1,2,2.18,1,4,1,1,1,26,Ⅱ,인천해역,201812,155689.0467,526123.8003
49,49,2018년 4분기,2018,4,11,덕적도 북방(1),2018-11-01,15.6,8.03,8.39,31.79,0.8,160,0.453,0.035,0,0.001,0,0,0.004,,0,0,0,0,0.23,0.004,0.0222,0.2562,0.031,0,99.5,1.8,2.01,1,2,1,1,1,22,Ⅰ,인천해역,201812,125192.1991,529578.1399
50,50,2018년 4분기,2018,4,12,인천공항 하단,2018-11-01,14.6,7.96,8.47,31.33,0.8,150,0.489,0.039,0,0.001,0,0,0.005,,0,0.001,0,0,0.255,0.03,0.0111,0.2961,0.0356,0,100.3,0.9,2.01,1,3,1,1,3,30,Ⅱ,인천해역,201812,153523.2117,535076.3497
51,51,2018년 4분기,2018,4,13,덕적도 북방(2),2018-11-01,15.1,8.04,8.45,31.61,2.3,170,0.458,0.04,0,0.004,0,0,0.011,,0,0.001,0,0,0.251,0.006,0.0074,0.2644,0.033,0.01,99.7,1.5,2.03,1,3,1,1,1,24,Ⅱ,인천해역,201812,125056.9261,541912.4225
52,52,2018년 4분기,2018,4,14,용유도 서방,2018-11-01,14.2,8,8.48,31.36,1.6,80,0.521,0.041,0,0,0,0,0,,0,0,0,0,0.271,0.019,0.0111,0.3011,0.034,0.13,116.7,1.5,1.78,1,3,1,1,1,24,Ⅱ,인천해역,201812,139282.7733,538250.9339
53,53,2018년 4분기,2018,4,15,장봉도 서방,2018-10-31,13.5,7.98,8.44,29.87,1.9,270,0.663,0.049,0,0,0,0,0,,0.001,0,0,0,0.455,0.019,0.0085,0.4825,0.041,0,108.4,0.8,1.54,3,4,1,1,3,36,Ⅲ,강화해역,201812,125414.7601,554396.6735
54,54,2018년 4분기,2018,4,16,석모도 서남방,2018-10-31,13.6,7.97,8.67,29.18,1.6,180,0.737,0.061,0,0.001,0,0,0,,0,0.001,0,0,0.582,0.014,0.017,0.613,0.05,0.29,112.3,0.5,1.8,4,5,1,1,5,46,Ⅲ,강화해역,201812,137125.0439,561699.5185
55,55,2018년 4분기,2018,4,17,만석부두 부근,2018-11-02,13.1,7.97,8.45,28.04,2.6,1200,2.402,0.151,0,0.001,0,0,0,,0,0.002,0,0,1.115,0.075,1.2083,2.3983,0.136,2.47,99.2,1.6,2.85,5,5,3,1,1,42,Ⅲ,인천해역,201812,167084.0735,544075.9303
56,56,2018년 4분기,2018,4,18,영흥도 남방,2018-11-01,14.7,8.1,8.52,30.97,2,300,0.555,0.044,0,0,0,0,0,,0,0,0,0,0.274,0.042,0.0294,0.3454,0.038,0,99.9,1.8,1.91,1,4,1,1,1,26,Ⅱ,인천해역,201812,150438.9767,512526.3673
57,57,2018년 4분기,2018,4,19,선수 앞바다,2018-10-31,13.7,8.02,8.37,28.61,2.4,310,0.886,0.063,0,0.001,0,0,0,,0,0,0,0,0.62,0.014,0.0109,0.6449,0.047,0,108.6,0.6,1.54,5,5,1,1,4,45,Ⅲ,강화해역,201812,145326.6913,560099.6603
58,58,2018년 4분기,2018,4,20,교동 아래,2018-10-31,12.9,7.82,8.65,24.5,4.4,600,1.267,0.071,0,0.001,0,0,0.02,,0.001,0,0,0,1.211,0.003,0.0106,1.2246,0.063,0,106.2,0.2,2.06,5,5,1,1,5,48,Ⅳ,강화해역,201812,137584.8299,573875.1441
59,59,2018년 4분기,2018,4,21,서도 주문도 아래,2018-10-31,13.1,7.9,8.67,29.4,0.8,400,0.811,0.067,0,0,0,0,0,,0,0,0,0,0.592,0.008,0.0158,0.6158,0.056,3.49,115.5,0.3,1.47,4,5,5,1,5,58,Ⅳ,강화해역,201812,132714.7071,561980.8649
60,60,2018년 4분기,2018,4,22,창후리 앞바다,2018-10-31,13.1,8.11,10.05,23.2,3.3,400,1.466,0.076,0,0.001,0,0,0,,0,0.001,0,0,1.369,0.005,0.0175,1.3915,0.067,4.39,111.9,0.2,2.21,5,5,5,1,5,60,Ⅴ,강화해역,201812,142394.0567,572020.9837
61,61,2018년 4분기,2018,4,23,외포리 앞바다,2018-10-31,13.3,8.03,8.54,25.35,3.4,460,1.204,0.066,0,0,0,0,0,,0,0,0,0,1.156,0.004,0.0166,1.1766,0.06,2.61,101.3,0.2,1.72,5,5,3,1,5,54,Ⅳ,강화해역,201812,145606.3345,565339.3221
62,62,2018년 4분기,2018,4,24,초지리 앞바다,2018-11-02,12.4,8,9.16,21.21,3,280,1.894,0.076,0,0,0,0,0,,0,0,0,0,1.694,0.02,0.1062,1.8202,0.07,0,96.1,0.6,2.29,5,5,1,1,4,45,Ⅲ,강화해역,201812,159773.9617,556317.1133
63,63,2018년 4분기,2018,4,25,운염도 북동방,2018-11-02,13.4,8,8.7,27.54,1,260,1.139,0.068,0,0.002,0,0,0.005,,0,0.002,0,0,0.92,0.041,0.1357,1.0967,0.061,0.29,97.6,1,2.11,5,5,1,1,1,36,Ⅲ,인천해역,201812,163991.5287,550347.3535
64,64,2018년 4분기,2018,4,26,LNG기지 북방,2018-11-02,13.6,8.07,8.73,30.86,1.1,120,0.672,0.061,0,0.002,0,0,0,,0,0.002,0,0,0.115,0.056,0.0698,0.2408,0.045,0.44,99.9,2.4,2.11,1,5,1,1,1,28,Ⅱ,인천해역,201812,163827.1581,529414.2955
65,65,2018년 4분기,2018,4,27,장봉도 서남방,2018-10-31,13.5,7.98,8.5,29.69,0.7,190,0.686,0.052,0,0,0,0,0,,0,0,0,0,0.449,0.017,0.0256,0.4916,0.042,0,114.7,0.8,1.48,3,4,1,1,3,36,Ⅲ,강화해역,201812,136305.9251,553997.5815
66,66,2018년 4분기,2018,4,28,덕적도 서방,2018-11-01,15.1,8.08,8.46,31.78,0.3,440,0.487,0.054,0,0.001,0,0,0,,0,0,0,0,0.257,0.003,0.0185,0.2785,0.033,0,99.2,1,1.95,1,3,1,1,1,24,Ⅱ,인천해역,201812,116582.3923,517603.9209
